state,x,y
Andhra Pradesh,-68,-162
Arunachal Pradesh,219,103
Assam,188,59
Bihar,62,50
Chhattisgarh,-10,-36
Goa,-153,-153
Gujarat,-190,-1
Haryana,-111,118
Himachal Pradesh,-94,178
Jharkhand,48,4
Karnataka,-122,-160
Kerala,-108,-252
Madhya Pradesh,-79,-1
Maharashtra,-130,-76
Manipur,-84,2
Meghalaya,157,41
Mizoram,187,-2
Nagaland,219,52
Odisha,38,-49
Punjab,-127,151
Rajasthan,-161,72
Sikkim,109,85
Tamil Nadu,-75,-229
Telangana,-63,-105
Tripura,166,5
Uttar Pradesh,-31,67
Uttarakhand,-58,141
West Bengal,98,-8

